Electoral_Division,Name,No_of_Accidents
267001,AIRPORT,172
267002,BALBRIGGAN RURAL,72
267003,BALBRIGGAN URBAN,41
267004,BALDOYLE,55
267005,BALGRIFFIN,110
267014,BALLYBOGHIL,6
267016,BALSCADDEN,7
267027,BLANCHARDSTOWN-ABBOTSTOWN,139
267028,BLANCHARDSTOWN-BLAKESTOWN,115
267029,BLANCHARDSTOWN-COOLMINE,162
267030,BLANCHARDSTOWN-CORDUFF,38
267031,BLANCHARDSTOWN-DELWOOD,29
267032,BLANCHARDSTOWN-MULHUDDART,24
267033,BLANCHARDSTOWN-ROSELAWN,31
267034,BLANCHARDSTOWN-TYRRELSTOWN,26
267040,CASTLEKNOCK-KNOCKMAROON,88
267041,CASTLEKNOCK-PARK,67
267054,CLONMETHAN,9
267065,DONABATE,60
267066,DUBBER,133
267091,GARRISTOWN,11
267093,HOLLYWOOD,18
267094,HOLMPATRICK,63
267095,HOWTH,116
267098,KILSALLAGHAN,30
267099,KINSALEY,88
267102,LUCAN NORTH,36
267104,LUSK,163
267105,MALAHIDE EAST,74
267106,MALAHIDE-WEST,49
267110,PORTMARNOCK NORTH,26
267111,PORTMARNOCK SOUTH,38
267118,RUSH,50
267123,SKERRIES,29
267130,SUTTON,50
267131,SWORDS-GLASMORE,42
267132,SWORDS-FORREST,81
267133,SWORDS-LISSENHALL,74
267134,SWORDS-SEATOWN,57
267135,SWORDS-VILLAGE,77
267158,THE WARD,129
267160,TURNAPIN,33
